Symbol,Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,MACDSignal,MACDHist,ATR14,BB_Upper,BB_Lower,BB_BandWidth,DonchianH20,DonchianL20,RVOL20,RS_vs_Index,RS_ROC20,TrendContinuation_Flag,Breakout_Flag,VCP_Flag,SEPA_Flag,MeanReversion_Flag,Pivot,Pivot_R1,Pivot_S1,HL2,ATR_Super,Upper_Band,Lower_Band,Supertrend,BB_MA20,KC_Upper,KC_Lower,Squeeze,AVWAP60,IndexUpRegime,Trend_OK,Minervini_Trend,BB_bw_p20_60,BB_slope20,HL_5,Volume_Dry_Up,Pivot_Break,Donchian_Mid,Pullback_to_Mid,Donchian_Breakout,MR_Flag,BB_Inside_KC,BBKC_Squeeze_Flag,SqueezeBreakout_Flag,AVWAP_Reclaim_Flag,RS_p80_60,RS_Leader_Flag,TS_Momentum,TS_Momentum_Flag,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,CompositeScore
ITC,2025-12-17,401.0,403.1,399.1,399.8,8087490,403.0030416704392,405.4259354961965,416.8676780263429,39.77272727272722,-1.5704180533330714,-1.5424371853294534,-0.0279808680036179,4.157142857142852,406.8369544168799,398.7130455831201,0.0201698437930851,408.8,398.2,0.9319316135003392,,,0,0,0,0,0,400.6666666666667,402.23333333333335,398.23333333333335,401.1,4.157142857142852,413.57142857142856,388.6285714285715,412.0892857142857,402.775,,,,,1,0,0,0.026898574544039225,-0.00200063531974895,False,False,False,403.5,True,0,0,False,0,0,0,0.0,0,-0.13200173686495875,0,Neutral (30–70),0,0,2024-07-22,2025-01-14,27.25
ULTRACEMCO,2025-12-17,11505.0,11591.0,11495.0,11540.0,205337,11622.478717361197,11808.748006635951,11836.335438124352,46.464646464646464,-82.52079079933901,-101.15569727623998,18.63490647690097,179.5,11829.6288215553,11371.1711784447,0.0395208478251267,12021.0,11266.0,0.919856334744078,,,0,0,0,0,0,11542.0,11589.0,11493.0,11543.0,179.5,12081.5,11004.5,11897.92857142857,11600.4,,,,,1,0,0,0.040666492305404735,-0.0006259987867059249,True,False,False,11643.5,True,0,0,False,0,0,0,0.0,0,-0.026731157675456196,0,Neutral (30–70),0,0,2025-04-01,2025-12-11,26.9
HINDUNILVR,2025-12-17,2281.2,2286.2,2268.3,2275.6,808100,2357.4621958722178,2421.9197936995843,2452.724051744781,23.677130044843096,-49.53463581623237,-38.97677435843044,-10.557861457801929,48.40714285714288,2535.379452187245,2221.980547812754,0.1317532851726551,2488.0,2244.7,0.3964060914288256,,,0,0,0,0,0,2276.7000000000003,2285.1000000000004,2267.2000000000007,2277.25,48.40714285714288,2422.4714285714285,2132.0285714285715,2417.785714285714,2378.68,,,,,1,0,0,0.04529035028784166,0.0019620303508291045,True,True,False,2366.35,True,0,0,False,0,0,0,0.0,0,-0.0295741913473635,0,Oversold (≤30),0,0,2025-08-01,2025-12-09,11.59
HINDALCO,2025-12-17,844.05,851.9,840.1,848.8,3270389,821.887954891074,801.6684225825035,729.9048712828153,68.62302483069978,11.915351741862196,8.409309525628608,3.506042216233588,15.892857142857142,857.1344400947951,771.9255599052049,0.1046111011130225,856.25,771.85,0.759523997668051,,,0,0,0,0,0,846.9333333333334,853.7666666666668,841.9666666666668,846.0,15.892857142857142,893.6785714285714,798.3214285714286,805.7464285714285,814.53,,,,,1,1,0,0.06396413028287488,-0.0013672491744397303,True,True,True,814.05,False,0,0,False,0,0,0,0.0,0,0.269328547928817,1,Neutral (30–70),0,0,2025-05-26,2025-04-11,36.68
HEROMOTOCO,2025-12-17,5970.0,5971.0,5782.0,5817.0,538205,5982.1228577699285,5779.414677883787,5077.710345175399,32.76573787409701,50.44930946194745,109.77866117374492,-59.32935171179746,127.5,6391.713195860443,5785.436804139556,0.0995760735017449,6388.5,5782.0,0.7266864687564851,,,0,0,0,0,1,5856.666666666667,5931.333333333334,5742.333333333334,5876.5,127.5,6259.0,5494.0,6014.071428571428,6088.575,,,,,1,0,0,0.062300758495925666,-0.0007773933588497512,False,True,True,6085.25,True,0,0,False,0,0,0,0.0,0,0.2765677291929556,1,Neutral (30–70),0,0,2025-08-08,2024-12-06,21.25
HDFCLIFE,2025-12-17,764.35,764.35,749.0,753.5,1809434,765.3417574970024,762.8397561535892,741.9515830080448,36.663007683863896,1.4216235283118976,2.515732420359812,-1.094108892047914,14.957142857142848,783.6241192795793,749.5858807204205,0.0444012738752797,788.5,745.2,0.7850539198126354,,,0,0,0,0,0,755.6166666666667,762.2333333333333,746.8833333333333,756.675,14.957142857142848,801.5464285714285,711.8035714285714,766.3071428571427,766.6049999999999,,,,,1,0,0,0.04675144627602104,-0.0019997922129849355,False,True,True,766.85,True,0,0,False,0,0,0,0.0,0,0.20261750857872496,1,Neutral (30–70),0,0,2025-04-08,2024-12-27,22.95
HDFCBANK,2025-12-17,996.0,996.0,980.8,984.0,19080922,996.0693848764138,992.2568058547116,960.6014694136676,34.54545454545455,0.0186995219046366,1.7691754169878595,-1.7504758950832229,12.467857142857149,1012.3832307107976,985.2117692892024,0.0272041744413607,1017.5,980.8,1.0638354622674178,,,0,0,0,0,1,986.9333333333334,993.0666666666668,977.8666666666668,988.4,12.467857142857149,1025.803571428571,950.9964285714284,972.6285714285716,998.7975,,,,,1,0,0,0.03159046123479458,-0.00032534190877644574,False,False,True,999.15,True,0,0,False,0,0,0,0.0,0,0.058519793459552494,1,Neutral (30–70),0,0,2024-06-27,2024-01-18,31.1
HCLTECH,2025-12-17,1651.0,1664.5,1646.3,1655.0,1394918,1643.86093688223,1594.4440885179256,1582.5601935735472,57.34463276836159,25.925546369658832,30.11760209718637,-4.192055727527546,25.871428571428574,1699.75815376851,1594.34184623149,0.064003101021232,1695.4,1592.6,0.577358357805247,,,1,0,0,0,0,1655.2666666666669,1664.2333333333331,1646.0333333333333,1655.4,25.871428571428574,1733.0142857142855,1577.7857142857144,1598.7857142857142,1647.05,,,,,1,1,0,0.07135799176090202,-0.002169708749830631,True,True,True,1644.0,False,0,0,False,0,0,0,0.0,0,-0.14523293048238817,0,Neutral (30–70),0,0,2025-12-10,2025-07-15,31.36
GRASIM,2025-12-17,2785.2,2814.9,2780.0,2806.6,420053,2774.576866935997,2781.507450780773,2726.7267041094337,67.18266253869969,6.221018451730288,-5.783037026941632,12.00405547867192,39.65714285714288,2832.357098272436,2672.1129017275634,0.0582232972638137,2849.9,2679.4,0.8630785620870716,,,0,0,0,0,0,2800.5,2821.0,2786.1,2797.45,39.65714285714288,2916.4214285714284,2678.478571428572,2810.807142857143,2752.235,,,,,1,0,0,0.04851726730052578,-0.0027642372248847706,True,False,True,2764.65,False,0,0,False,0,0,0,0.0,0,0.05509294938065068,1,Neutral (30–70),0,0,2025-04-15,2025-01-16,25.24
EICHERMOT,2025-12-17,7104.0,7176.5,7080.5,7134.5,594264,7110.008978943878,6971.527759532366,6195.156695378493,58.65814696485623,49.87456153207131,60.8928423465869,-11.018280814515592,122.96428571428572,7288.667636538626,7002.482363461373,0.0400506989398688,7328.5,6886.5,1.1021751147612222,,,1,0,0,0,0,7130.5,7180.5,7084.5,7128.5,122.96428571428572,7497.392857142857,6759.607142857143,6874.535714285714,7145.575,,,,,1,1,0,0.03433064954389086,-0.0003992319662990358,True,False,True,7107.5,False,0,0,False,0,0,0,0.0,0,0.48398905910372014,1,Neutral (30–70),0,0,2024-04-18,2024-01-02,46.7
DIVISLAB,2025-12-17,6312.0,6374.5,6280.5,6293.0,194825,6403.161897193895,6408.921780238194,6208.06363839496,33.01805674978503,-38.80040685329186,-27.08971362827786,-11.710693225014,119.17857142857144,6544.131087295816,6262.968912704185,0.0439072349855362,6568.0,6265.0,1.039711842522013,,,0,0,0,0,0,6316.0,6351.5,6257.5,6327.5,119.17857142857144,6685.035714285715,5969.964285714285,6468.357142857143,6403.55,,,,,1,0,0,0.04797168915422084,-0.001653375699264506,True,False,True,6416.5,True,0,0,False,0,0,0,0.0,0,0.05734496026345415,1,Neutral (30–70),0,0,2024-05-02,2024-02-16,30.4
ICICIBANK,2025-12-17,1365.0,1365.0,1343.1,1352.4,9440391,1371.3600393068466,1376.8384313955678,1369.8516861334804,30.97514340344165,-3.1124959155188208,-0.1467696729175564,-2.9657262426012645,16.0,1401.2892568077548,1349.3607431922453,0.0377572672753781,1400.0,1343.1,1.0025552630919956,,,0,0,0,0,0,1353.5,1363.9,1342.0,1354.05,16.0,1402.05,1306.05,1393.6142857142856,1375.325,,,,,1,0,0,0.038200067095549864,-0.0007165590613720507,False,False,False,1371.55,True,0,0,False,0,0,0,0.0,0,0.017415835997743212,1,Neutral (30–70),0,0,2024-02-20,,29.31
COALINDIA,2025-12-17,380.85,385.5,380.8,384.75,3651138,381.1924157139164,382.4558629489501,390.8859017305177,60.63492063492068,0.3359254894824062,-0.6238204812705606,0.9597459707529667,5.053571428571416,386.71450933583736,371.4704906641626,0.0402118709066383,385.75,369.6,0.959258802354559,,,0,0,0,0,0,383.6833333333333,386.56666666666666,381.8666666666667,383.15,5.053571428571416,398.3107142857142,367.98928571428576,385.8464285714285,379.0925,,,,,1,0,0,0.0448414758688188,-0.0012277583664880999,True,False,False,377.675,False,0,0,False,0,0,0,0.0,0,-0.05952089953556594,0,Neutral (30–70),0,0,2024-01-01,2024-11-19,28.05
BRITANNIA,2025-12-17,6060.0,6116.0,6051.0,6096.0,298257,5923.39927469267,5904.529591215794,5695.077142787997,67.39832149774048,31.71213275449645,2.573108060852656,29.1390246936438,106.07142857142856,6059.920167284296,5714.179832715704,0.0587289618006628,6145.0,5763.5,1.061614366998147,,,0,0,0,0,0,6087.666666666667,6124.333333333334,6059.333333333334,6083.5,106.07142857142856,6401.714285714285,5765.285714285715,5823.892857142857,5887.05,,,,,1,1,0,0.05789815280821652,-0.0008524140369616396,True,False,True,5954.25,False,0,0,False,0,0,0,0.0,0,0.26254310478734966,1,Neutral (30–70),0,0,2025-05-12,2024-12-03,45.52
BHARTIARTL,2025-12-17,2117.6,2128.0,2096.4,2108.0,6412516,2092.136740402276,2061.465777056447,1909.2797288551512,48.31709477413644,3.3566495470745394,7.553453477530913,-4.196803930456373,30.685714285714344,2170.0926821837525,2042.9273178162468,0.0603677952478296,2174.5,2038.0,0.8954679290724421,,,1,0,0,0,0,2110.8,2125.2,2093.5999999999995,2112.2,30.685714285714344,2204.2571428571428,2020.1428571428569,2046.035714285714,2106.51,,,,,1,1,0,0.05562709012350544,-0.0011439165145970352,True,False,True,2106.25,False,0,0,False,0,0,0,0.0,0,0.30886964080593593,1,Neutral (30–70),0,0,2023-12-27,2023-12-19,40.66
BAJAJFINSV,2025-12-17,2035.2,2044.0,2011.6,2021.2,398342,2062.6018539496554,2061.540034985299,1986.318430405109,32.78757346767425,-6.048640392358266,-2.161257226217426,-3.88738316614084,36.60714285714288,2113.793042688376,2016.3069573116245,0.04720761501017,2118.0,2011.6,0.4568112603398842,,,0,0,0,0,1,2025.6,2039.6000000000004,2007.2000000000005,2027.8,36.60714285714288,2137.6214285714286,1917.9785714285715,2063.242857142857,2065.05,,,,,1,0,0,0.05805611701733674,-0.00252168751212346,False,True,True,2064.8,True,0,0,False,0,0,0,0.0,0,0.20359673673554468,1,Neutral (30–70),0,0,2025-01-28,2024-12-18,13.36
BAJAJ-AUTO,2025-12-17,9008.0,9009.0,8859.0,8895.0,256364,8993.801735024585,8952.01131892645,8774.67517215536,42.15384615384615,4.1033828172548965,20.607770938313124,-16.504388121058227,138.32142857142858,9162.322370280108,8882.927629719892,0.0309660149413519,9254.5,8857.5,0.722206430737185,,,0,0,0,0,0,8921.0,8983.0,8833.0,8934.0,138.32142857142858,9348.964285714286,8519.035714285714,8720.92857142857,9022.625,,,,,1,0,0,0.049980753951776015,-0.00120708104872039,False,True,True,9056.0,True,0,0,False,0,0,0,0.0,0,-0.00761442557108194,0,Neutral (30–70),0,0,2025-09-09,2024-12-31,21.12
AXISBANK,2025-12-17,1220.6,1236.0,1220.3,1224.7,5147181,1261.6157979636794,1236.5564462099862,1171.3396289565528,30.2149178255373,3.1401111557340755,11.102368310057418,-7.962257154323343,20.785714285714302,1309.2410650673182,1234.4189349326816,0.0588302918901398,1304.0,1216.9,1.082206493296569,,,0,0,0,0,1,1227.0,1233.7,1218.0,1228.15,20.785714285714302,1290.507142857143,1165.7928571428572,1232.4785714285713,1271.83,,,,,1,0,0,0.06255127480199858,0.00047852631837389523,True,False,True,1260.45,True,0,0,False,0,0,0,0.0,0,0.06900013093003965,1,Neutral (30–70),0,0,2025-10-08,2025-08-08,31.64
